,x,y,bed
271,-1584500.0,-249500.0,-1227.0628662109375
272,-1584000.0,-249500.0,-1219.367645263672
273,-1583500.0,-249500.0,-1206.1995544433594
274,-1583000.0,-249500.0,-1190.303741455078
275,-1582500.0,-249500.0,-1179.9825439453125
276,-1582000.0,-249500.0,-1173.707275390625
277,-1581500.0,-249500.0,-1163.9046325683594
278,-1581000.0,-249500.0,-1148.3420104980469
279,-1580500.0,-249500.0,-1138.0349426269531
280,-1580000.0,-249500.0,-1130.9293518066406
281,-1579500.0,-249500.0,-1123.3011779785156
282,-1579000.0,-249500.0,-1114.9679260253906
283,-1578500.0,-249500.0,-1109.8029174804688
284,-1578000.0,-249500.0,-1107.5828247070312
285,-1577500.0,-249500.0,-1094.442901611328
286,-1577000.0,-249500.0,-1065.8049926757812
287,-1576500.0,-249500.0,-1043.0094299316406
288,-1576000.0,-249500.0,-1022.7001342773438
289,-1575500.0,-249500.0,-989.9850463867188
290,-1575000.0,-249500.0,-952.0003356933594
291,-1574500.0,-249500.0,-906.6521606445312
292,-1574000.0,-249500.0,-860.0819091796875
293,-1573500.0,-249500.0,-814.9839782714844
294,-1573000.0,-249500.0,-773.7388610839844
295,-1572500.0,-249500.0,-696.0676574707031
296,-1572000.0,-249500.0,-637.4300231933594
297,-1571500.0,-249500.0,-600.1868896484375
298,-1571000.0,-249500.0,-591.9436950683594
299,-1570500.0,-249500.0,-576.6478576660156
300,-1570000.0,-249500.0,-558.4122924804688
301,-1569500.0,-249500.0,-545.7073974609375
302,-1569000.0,-249500.0,-534.1274719238281
303,-1568500.0,-249500.0,-540.2575073242188
304,-1568000.0,-249500.0,-556.9848937988281
305,-1567500.0,-249500.0,-568.1990051269531
306,-1567000.0,-249500.0,-557.8045043945312
307,-1566500.0,-249500.0,-555.1443481445312
308,-1566000.0,-249500.0,-571.4415893554688
309,-1565500.0,-249500.0,-604.493408203125
310,-1565000.0,-249500.0,-641.7177429199219
311,-1564500.0,-249500.0,-687.2970275878906
312,-1564000.0,-249500.0,-737.1229858398438
313,-1563500.0,-249500.0,-776.3177795410156
314,-1563000.0,-249500.0,-804.64404296875
315,-1562500.0,-249500.0,-829.9949951171875
316,-1562000.0,-249500.0,-861.5523071289062
317,-1561500.0,-249500.0,-887.2703552246094
318,-1561000.0,-249500.0,-903.073486328125
319,-1560500.0,-249500.0,-911.5504455566406
320,-1560000.0,-249500.0,-920.1412353515624
321,-1559500.0,-249500.0,-926.812744140625
322,-1559000.0,-249500.0,-932.3391723632812
323,-1558500.0,-249500.0,-935.7200012207032
324,-1558000.0,-249500.0,-932.0632934570312
325,-1557500.0,-249500.0,-941.7197265625
326,-1557000.0,-249500.0,-946.4291381835938
327,-1556500.0,-249500.0,-944.700653076172
328,-1556000.0,-249500.0,-930.3880310058594
329,-1555500.0,-249500.0,-903.8410339355468
330,-1555000.0,-249500.0,-885.8189086914062
331,-1554500.0,-249500.0,-887.955078125
332,-1554000.0,-249500.0,-909.6837768554688
333,-1553500.0,-249500.0,-941.4176025390624
334,-1553000.0,-249500.0,-972.435791015625
335,-1552500.0,-249500.0,-998.453369140625
336,-1552000.0,-249500.0,-1021.2074584960938
337,-1551500.0,-249500.0,-1038.5382080078125
338,-1551000.0,-249500.0,-1049.201904296875
339,-1550500.0,-249500.0,-1053.3494262695312
340,-1550000.0,-249500.0,-1053.7819213867188
341,-1549500.0,-249500.0,-1052.7676391601562
342,-1549000.0,-249500.0,-1052.0560302734375
343,-1548500.0,-249500.0,-1050.349365234375
344,-1548000.0,-249500.0,-1045.4778442382812
345,-1547500.0,-249500.0,-1038.5647583007812
346,-1547000.0,-249500.0,-1029.9588012695312
347,-1546500.0,-249500.0,-1020.6845703125
348,-1546000.0,-249500.0,-1011.0487060546876
349,-1545500.0,-249500.0,-1001.25048828125
350,-1545000.0,-249500.0,-990.5806884765624
351,-1544500.0,-249500.0,-977.47705078125
352,-1544000.0,-249500.0,-959.4625854492188
353,-1543500.0,-249500.0,-933.17333984375
354,-1543000.0,-249500.0,-901.05078125
355,-1542500.0,-249500.0,-865.4083862304688
356,-1542000.0,-249500.0,-829.1116333007812
357,-1541500.0,-249500.0,-798.73291015625
358,-1541000.0,-249500.0,-780.499755859375
359,-1540500.0,-249500.0,-772.9136352539062
360,-1540000.0,-249500.0,-769.285888671875
361,-1539500.0,-249500.0,-767.317138671875
362,-1539000.0,-249500.0,-762.05615234375
363,-1538500.0,-249500.0,-752.6801147460938
364,-1538000.0,-249500.0,-744.5283813476562
365,-1537500.0,-249500.0,-739.2861328125
366,-1537000.0,-249500.0,-736.2999877929688
367,-1536500.0,-249500.0,-732.71533203125
368,-1536000.0,-249500.0,-726.5343017578125
369,-1535500.0,-249500.0,-717.3046875
370,-1535000.0,-249500.0,-705.8196411132812
371,-1534500.0,-249500.0,-691.179443359375
372,-1534000.0,-249500.0,-672.788330078125
373,-1533500.0,-249500.0,-652.6528930664062
374,-1533000.0,-249500.0,-632.8787231445312
375,-1532500.0,-249500.0,-617.3853759765625
376,-1532000.0,-249500.0,-606.2820434570312
377,-1531500.0,-249500.0,-599.608642578125
378,-1531000.0,-249500.0,-595.9763793945312
379,-1530500.0,-249500.0,-593.6987915039062
380,-1530000.0,-249500.0,-595.043212890625
381,-1529500.0,-249500.0,-600.792236328125
382,-1529000.0,-249500.0,-611.083740234375
383,-1528500.0,-249500.0,-621.823974609375
