,x,y,bedrock_altitude (m)
236,-1601999.8,-249499.72,-216.21936246817427
237,-1601499.8,-249499.72,-153.87001099505585
238,-1600999.8,-249499.72,-196.05232003974024
239,-1600499.8,-249499.72,-271.3766434046463
240,-1599999.8,-249499.72,-253.75925781086713
241,-1599499.8,-249499.72,-290.43504747896276
242,-1598999.8,-249499.72,-255.93913600323646
243,-1598499.8,-249499.72,-452.4797185701573
244,-1597999.8,-249499.72,-539.883305786848
245,-1597499.8,-249499.72,-601.0454524627808
246,-1596999.8,-249499.72,-715.1166397491979
247,-1596499.8,-249499.72,-669.9350059595814
248,-1595999.8,-249499.72,-668.5631682714642
249,-1595499.8,-249499.72,-690.5166418502314
250,-1594999.8,-249499.72,-695.8199111764645
251,-1594499.8,-249499.72,-684.3499645947478
252,-1593999.8,-249499.72,-724.1833389258927
253,-1593499.8,-249499.72,-768.3499628297036
254,-1592999.8,-249499.72,-759.6503807662543
255,-1592499.8,-249499.72,-864.0783948817649
256,-1591999.8,-249499.72,-922.2215978873363
257,-1591499.8,-249499.72,-843.9631868573688
258,-1590999.8,-249499.72,-1029.5429762329616
259,-1590499.8,-249499.72,-976.2796490547663
260,-1589999.8,-249499.72,-1018.1293333306897
261,-1589499.8,-249499.72,-1229.0284883566696
262,-1588999.8,-249499.72,-1170.9739571906478
263,-1588499.8,-249499.72,-1246.8515186288748
264,-1587999.8,-249499.72,-1188.0750873091226
265,-1587499.8,-249499.72,-1211.3311737061522
266,-1586999.8,-249499.72,-1194.6181029691384
267,-1586499.8,-249499.72,-1215.035641225712
268,-1585999.8,-249499.72,-1096.4373491594
269,-1585499.8,-249499.72,-1115.82452714464
270,-1584999.8,-249499.72,-1240.9525706078134
271,-1584499.8,-249499.72,-1247.9698480191664
272,-1583999.8,-249499.72,-1245.7004644928745
273,-1583499.8,-249499.72,-1227.736339156022
274,-1582999.8,-249499.72,-1271.6679915791397
275,-1582499.8,-249499.72,-1254.7230281468744
276,-1581999.8,-249499.72,-1296.7164285236222
277,-1581499.8,-249499.72,-1294.3023388236309
278,-1580999.8,-249499.72,-1292.0188724113198
279,-1580499.8,-249499.72,-1313.100287154791
280,-1579999.8,-249499.72,-1268.434481840769
281,-1579499.8,-249499.72,-1314.5450857151511
282,-1578999.8,-249499.72,-1317.3736841702753
283,-1578499.8,-249499.72,-1315.9054477123325
284,-1577999.8,-249499.72,-1300.8103072139947
285,-1577499.8,-249499.72,-1274.0349846220354
286,-1576999.8,-249499.72,-1265.7219191132367
287,-1576499.8,-249499.72,-1257.4912178939055
288,-1575999.8,-249499.72,-1228.2994411398777
289,-1575499.8,-249499.72,-1192.1452681041033
290,-1574999.8,-249499.72,-1221.2393761011215
291,-1574499.8,-249499.72,-1176.64502584731
292,-1573999.8,-249499.72,-1162.2282707684903
293,-1573499.8,-249499.72,-1146.6481965571606
294,-1572999.8,-249499.72,-1157.9315249113376
295,-1572499.8,-249499.72,-1139.9256511630183
296,-1571999.8,-249499.72,-1151.9608167516767
297,-1571499.8,-249499.72,-1145.4045435919002
298,-1570999.8,-249499.72,-1101.7800250246548
299,-1570499.8,-249499.72,-1088.9954854297387
300,-1569999.8,-249499.72,-1009.3508208704601
301,-1569499.8,-249499.72,-1047.3428408702246
302,-1568999.8,-249499.72,-1170.6894860118398
303,-1568499.8,-249499.72,-1190.6773652149934
304,-1567999.8,-249499.72,-1170.5958511743145
305,-1567499.8,-249499.72,-1119.964623751214
306,-1566999.8,-249499.72,-1051.1314584381087
307,-1566499.8,-249499.72,-934.8367913090153
308,-1565999.8,-249499.72,-827.2431530409502
309,-1565499.8,-249499.72,-932.6076929266778
310,-1564999.8,-249499.72,-898.2826048492052
311,-1564499.8,-249499.72,-1087.4081944710333
312,-1563999.8,-249499.72,-987.36408973304
313,-1563499.8,-249499.72,-804.3332277321622
314,-1562999.8,-249499.72,-643.6137332130967
315,-1562499.8,-249499.72,-553.0215275242987
316,-1561999.8,-249499.72,-431.4000567623108
317,-1561499.8,-249499.72,-413.4721309387247
318,-1560999.8,-249499.72,-397.3598678936576
319,-1560499.8,-249499.72,-420.5383730271508
320,-1559999.8,-249499.72,-463.9055015993205
321,-1559499.8,-249499.72,-504.72503395357677
322,-1558999.8,-249499.72,-523.8266635953239
323,-1558499.8,-249499.72,-514.8214636144255
324,-1557999.8,-249499.72,-512.9444069303499
325,-1557499.8,-249499.72,-483.5722560601121
326,-1556999.8,-249499.72,-413.86673356393396
327,-1556499.8,-249499.72,-317.4628890253019
328,-1555999.8,-249499.72,-561.1883787366071
329,-1555499.8,-249499.72,-523.2916918796822
330,-1554999.8,-249499.72,-688.9319673148835
331,-1554499.8,-249499.72,-645.650994286053
332,-1553999.8,-249499.72,-694.5438898015934
333,-1553499.8,-249499.72,-754.9037873444212
334,-1552999.8,-249499.72,-846.7924385646905
335,-1552499.8,-249499.72,-834.7634735833213
336,-1551999.8,-249499.72,-869.1959116067055
337,-1551499.8,-249499.72,-1027.0309965661647
338,-1550999.8,-249499.72,-1063.294001412564
339,-1550499.8,-249499.72,-963.3171081894333
340,-1549999.8,-249499.72,-983.1417655048826
341,-1549499.8,-249499.72,-866.355036502122
342,-1548999.8,-249499.72,-844.28426690847
343,-1548499.8,-249499.72,-752.3532127653094
344,-1547999.8,-249499.72,-721.8065873500533
345,-1547499.8,-249499.72,-772.4833188334312
346,-1546999.8,-249499.72,-905.162467217418
347,-1546499.8,-249499.72,-907.4738609817165
348,-1545999.8,-249499.72,-914.8794889247004
349,-1545499.8,-249499.72,-873.3358222984393
350,-1544999.8,-249499.72,-866.0081668109316
351,-1544499.8,-249499.72,-838.881974025325
352,-1543999.8,-249499.72,-838.1479081547807
353,-1543499.8,-249499.72,-866.1776837789138
354,-1542999.8,-249499.72,-902.1903507602236
355,-1542499.8,-249499.72,-935.5429229201986
356,-1541999.8,-249499.72,-957.7859392160516
357,-1541499.8,-249499.72,-974.8805568544393
358,-1540999.8,-249499.72,-983.2204618846976
359,-1540499.8,-249499.72,-1001.3374068912761
360,-1539999.8,-249499.72,-1028.5608007258295
361,-1539499.8,-249499.72,-1042.5638513117174
362,-1538999.8,-249499.72,-1054.0467482371203
363,-1538499.8,-249499.72,-1058.1292729707823
364,-1537999.8,-249499.72,-1063.3701289873438
365,-1537499.8,-249499.72,-1069.161365679644
366,-1536999.8,-249499.72,-1083.1056988043608
367,-1536499.8,-249499.72,-1091.3729351011937
368,-1535999.8,-249499.72,-1095.212894448835
369,-1535499.8,-249499.72,-1104.8149282204656
370,-1534999.8,-249499.72,-958.665580045853
371,-1534499.8,-249499.72,-859.987940151061
372,-1533999.8,-249499.72,-975.9741763592276
373,-1533499.8,-249499.72,-879.866869564615
