X,Y,Sum,Count,Bed,simulated,cluster,Norm_Bed
-184000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.1947089193749582
-183000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.8191813191412758
-182000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.18955286435496785
-181000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.4553747697525182
-180000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.9445960167489982
-179000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.037031110447018734
-178000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.4080647591391101
-177000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.5325838433988634
-176000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.28319986144707165
-175000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.11749100481881072
-174000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.26906794684712887
-173000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.3017597408596675
-172000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.40544329456585104
-171000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.2760628467437606
-170000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.6279781755220772
-169000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.5551205731333677
-168000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.3062776280843298
-167000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.7163987619475682
-166000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.6081960459075924
-165000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.23213624946232153
-164000.0,-1800000.0,0.0,0.0,,1.0,15.0,-0.14318793473706015
-163000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.3693396846661722
-162000.0,-1800000.0,0.0,0.0,,1.0,15.0,0.1927513589211
-161000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.05978754477686771
-160000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.5317720357959574
-159000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.22200035798520307
-158000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.026918813356151775
-157000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.6006762754922843
-156000.0,-1800000.0,0.0,0.0,,1.0,12.0,-0.06456096649833759
-155000.0,-1800000.0,0.0,0.0,,1.0,15.0,-0.07344328120478899
-154000.0,-1800000.0,0.0,0.0,,1.0,15.0,0.1721784283085018
-153000.0,-1800000.0,0.0,0.0,,1.0,14.0,0.1164030525463028
-152000.0,-1800000.0,0.0,0.0,,1.0,14.0,0.10329177831676734
-151000.0,-1800000.0,0.0,0.0,,1.0,12.0,0.17684396809739839
